Data;NDVI;M�dia - Desvio Padr�o;M�dia + Desvio Padr�o
06/03/2017;0,4535;0,2937;0,6133
22/03/2017;0,4969;0,4199;0,574
07/04/2017;0,5433;0,463;0,6235
23/04/2017;0,638;0,5716;0,7043
09/05/2017;0,6209;0,5611;0,6807
25/05/2017;0,6682;0,5999;0,7365
10/06/2017;0,6869;0,6373;0,7365
26/06/2017;0,4883;0,3643;0,6124
12/07/2017;0,4251;0,3233;0,527
28/07/2017;0,3797;0,3064;0,4531
13/08/2017;0,3624;0,2833;0,4416
29/08/2017;0,3343;0,2606;0,408
14/09/2017;0,3479;0,273;0,4228
30/09/2017;0,4505;0,3604;0,5406
16/10/2017;0,4638;0,3997;0,528
01/11/2017;0,4692;0,3612;0,5772
17/11/2017;0,4439;0,3487;0,5391
03/12/2017;0,7107;0,651;0,7704
19/12/2017;0,7971;0,725;0,8693
01/01/2018;0,8148;0,7814;0,8481
17/01/2018;0,7793;0,7436;0,8151
02/02/2018;0,8151;0,7727;0,8575
18/02/2018;0,5222;0,348;0,6963
06/03/2018;0,5764;0,383;0,7697
22/03/2018;0,5997;0,5254;0,674
07/04/2018;0,5347;0,4508;0,6186
23/04/2018;0,5203;0,4219;0,6188
09/05/2018;0,4956;0,4193;0,5719
25/05/2018;0,4611;0,3824;0,5397
10/06/2018;0,5119;0,4374;0,5865
26/06/2018;0,5519;0,5051;0,5988
12/07/2018;0,5218;0,4694;0,5742
28/07/2018;0,4575;0,4018;0,5132
13/08/2018;0,3854;0,3115;0,4594
29/08/2018;0,3921;0,2988;0,4855
14/09/2018;0,4366;0,3652;0,5081
30/09/2018;0,4834;0,4196;0,5472
16/10/2018;0,5136;0,4269;0,6002
01/11/2018;0,1416;0,0701;0,2132
17/11/2018;0,6644;0,5768;0,7521
03/12/2018;0,7591;0,6716;0,8465
19/12/2018;0,8259;0,741;0,9107
01/01/2019;0,7869;0,7516;0,8222
17/01/2019;0,7863;0,7498;0,8229
02/02/2019;0,5937;0,5261;0,6612
18/02/2019;0,5305;0,4226;0,6383
06/03/2019;0,5596;0,4781;0,6411
22/03/2019;0,5546;0,4324;0,6768
07/04/2019;0,7356;0,6813;0,7899
23/04/2019;0,7483;0,7131;0,7835
09/05/2019;0,7362;0,6785;0,794
25/05/2019;0,6791;0,5985;0,7597
10/06/2019;0,6138;0,5284;0,6993
26/06/2019;0,4904;0,3979;0,5828
12/07/2019;0,3902;0,3301;0,4503
28/07/2019;0,3831;0,3093;0,4569
13/08/2019;0,3752;0,305;0,4454
29/08/2019;0,3465;0,2747;0,4183
14/09/2019;0,3685;0,298;0,4391
30/09/2019;0,4471;0,3566;0,5375
16/10/2019;0,4085;0,2984;0,5187
01/11/2019;0,5745;0,4986;0,6504
17/11/2019;0,5517;0,4025;0,7008
03/12/2019;0,7057;0,6053;0,806
19/12/2019;0,8343;0,7607;0,908
01/01/2020;0,8659;0,8235;0,9084
17/01/2020;0,7371;0,6469;0,8273
02/02/2020;0,6579;0,4265;0,8893
18/02/2020;0,5746;0,4447;0,7045
05/03/2020;0,5719;0,4557;0,6881
21/03/2020;0,5935;0,5119;0,6752
06/04/2020;0,5875;0,4808;0,6941
22/04/2020;0,5714;0,4823;0,6604
08/05/2020;0,5102;0,4015;0,6189
24/05/2020;0,4285;0,3297;0,5272
09/06/2020;0,5384;0,4629;0,614
25/06/2020;0,5598;0,4821;0,6376
11/07/2020;0,5698;0,5025;0,6371
27/07/2020;0,5377;0,4695;0,6058
12/08/2020;0,4929;0,4301;0,5558
28/08/2020;0,4381;0,3777;0,4986
13/09/2020;0,3523;0,2948;0,4099
29/09/2020;0,3685;0,28;0,4569
15/10/2020;0,3531;0,2325;0,4738
31/10/2020;0,3649;0,2799;0,4498
16/11/2020;0,3498;0,1719;0,5278
02/12/2020;0,6242;0,5706;0,6778
18/12/2020;0,4795;0,3119;0,6471
01/01/2021;0,8187;0,7342;0,9032
17/01/2021;0,8362;0,783;0,8895
02/02/2021;0,8448;0,7474;0,9423
18/02/2021;0,8637;0,8182;0,9092
06/03/2021;0,7563;0,7077;0,8049
22/03/2021;0,7384;0,7075;0,7694
07/04/2021;0,5077;0,41;0,6054
23/04/2021;0,4818;0,385;0,5785
09/05/2021;0,4684;0,3666;0,5702
25/05/2021;0,4545;0,3749;0,5341
10/06/2021;0,4167;0,3359;0,4974
26/06/2021;0,3767;0,3108;0,4427
12/07/2021;0,3441;0,2924;0,3957
28/07/2021;0,3029;0,2612;0,3445
13/08/2021;0,3025;0,2626;0,3423
29/08/2021;0,333;0,2778;0,3882
14/09/2021;0,6299;0,5849;0,675
30/09/2021;0,3208;0,2359;0,4057
16/10/2021;0,3139;0,1547;0,4732
01/11/2021;0,4168;0,2944;0,5392
17/11/2021;0,4545;0,3725;0,5364
03/12/2021;0,5164;0,3569;0,6758
19/12/2021;0,799;0,7032;0,8948
01/01/2022;0,5929;0,3501;0,8356
17/01/2022;0,8703;0,8103;0,9302
02/02/2022;0,7502;0,6232;0,8772
18/02/2022;0,6245;0,528;0,7211
06/03/2022;0,5337;0,4308;0,6366
22/03/2022;0,5799;0,4815;0,6783
07/04/2022;0,6624;0,6181;0,7068
23/04/2022;0,5317;0,4239;0,6396
09/05/2022;0,5047;0,433;0,5763
25/05/2022;0,5403;0,4951;0,5855
10/06/2022;0,5673;0,5014;0,6331
26/06/2022;0,5524;0,4891;0,6156
12/07/2022;0,5128;0,4605;0,5651
28/07/2022;0,4399;0,3894;0,4905
13/08/2022;0,4351;0,3943;0,4759
29/08/2022;0,377;0,3032;0,4508
14/09/2022;0,3384;0,2552;0,4216
30/09/2022;0,3585;0,2566;0,4604
16/10/2022;0,4441;0,3831;0,505
01/11/2022;0,6204;0,5831;0,6576
17/11/2022;0,4263;0,3066;0,546
03/12/2022;0,5866;0,4889;0,6843
19/12/2022;0,3671;0,2935;0,4407
01/01/2023;0,6649;0,3374;0,9925
17/01/2023;0,9023;0,8519;0,9526
02/02/2023;0,8957;0,8581;0,9333
18/02/2023;0,8372;0,7734;0,901
06/03/2023;0,5929;0,4817;0,7041
22/03/2023;0,5665;0,471;0,662
07/04/2023;0,5999;0,5415;0,6584
23/04/2023;0,6205;0,5157;0,7254
09/05/2023;0,7045;0,6543;0,7548
25/05/2023;0,7683;0,708;0,8285
10/06/2023;0,7856;0,7091;0,8621
26/06/2023;0,7758;0,7037;0,8479
12/07/2023;0,7365;0,6459;0,827
28/07/2023;0,6147;0,5387;0,6907
13/08/2023;0,4967;0,4774;0,5159
29/08/2023;0,4309;0,357;0,5047
14/09/2023;0,418;0,3278;0,5082
30/09/2023;0,4458;0,3637;0,5278
16/10/2023;0,53;0,4458;0,6142
01/11/2023;0,6499;0,59;0,7098
17/11/2023;0,7105;0,6168;0,8043
03/12/2023;0,5417;0,4293;0,6542
19/12/2023;0,5359;0,4603;0,6115
01/01/2024;0,6111;0,523;0,6991
17/01/2024;0,8216;0,7837;0,8595
02/02/2024;0,8115;0,7873;0,8356
18/02/2024;0,8189;0,8019;0,8359
05/03/2024;0,8057;0,7656;0,8459
21/03/2024;0,6895;0,6382;0,7408
06/04/2024;0,6905;0,6469;0,7342
22/04/2024;0,6741;0,6356;0,7126
08/05/2024;0,6672;0,6248;0,7096
24/05/2024;0,6606;0,6416;0,6796
09/06/2024;0,6251;0,5911;0,6592
25/06/2024;0,5322;0,4881;0,5762
11/07/2024;0,4939;0,4379;0,5499
27/07/2024;0,4441;0,3754;0,5127
12/08/2024;0,3891;0,319;0,4592
28/08/2024;0,3757;0,3016;0,4497
13/09/2024;0,3716;0,29;0,4532
29/09/2024;0,3767;0,2936;0,4599
15/10/2024;0,445;0,3488;0,5413
31/10/2024;0,6751;0,6162;0,7341
16/11/2024;0,6755;0,5922;0,7589
02/12/2024;0,5242;0,39;0,6583
18/12/2024;0,7808;0,696;0,8656
01/01/2025;0,8203;0,7706;0,8699
17/01/2025;0,8771;0,8283;0,9259
02/02/2025;0,8219;0,7693;0,8744
18/02/2025;0,77;0,7382;0,8018
06/03/2025;0,5745;0,4904;0,6585
22/03/2025;0,5143;0,3894;0,6391
